objectives;is_feasible;variables;evaluation_time
[3.6436504320000034, -1.7024165999999998];True;[2.7358195050666145, -1.9521244694515483, -4.9109449101545675, 3.432080315342281, -1.505567950116208, 3.086558967579183, -0.11558034598351519, 2.9061723379828095, -1.2954676986123448, -0.8933943638242159];158.93517549999524
[3.796808040000002, -2.499999999998682];True;[-1.7007509042356639, 3.592193879595742, 0.8939930988636524, 2.3008412178916346, 0.357257785500666, 2.3124596106039883, 4.200920675832393, 1.8746819492469013, -2.7645899343651106, -2.4888670832721504];160.26479799998924
[3.649751568000001, -2.4999999999989124];True;[-1.7626073009384013, -0.16644729037841266, 0.8105912243001079, 4.689577375707753, -1.4955715318706595, 1.662223000507983, 3.306569667345805, -0.3067080666090405, -0.7447543574035533, -4.222876503601666];164.991004099953
[4.034800080000012, -2.4999999999905933];True;[4.1900182801777035, 3.3150720675857244, 0.5476088971023598, 3.063205641203803, 4.711856185557808, 1.1932622386194076, 2.8649890424747424, 0.8131112686571793, 3.1874951514845105, -4.290312186899254];165.71762420004234
[3.4002283680000107, -2.49999999999846];True;[1.6201114425007992, -1.0487292063893463, 3.9454376522628447, -1.6360414387375775, -0.407799579145677, -4.40619241260327, 2.712617707299688, -3.6563335688782397, -2.9386855925600575, -3.966417531065267];167.09668389998842
[3.611403360000001, -2.499999999997787];True;[-4.167202626138009, 0.008021257559491346, -0.9449955566569814, 3.3823132090501797, 4.007794902757652, -0.40911356280727507, -3.4804267343234563, 3.0589816582532876, 0.24955582173272006, -1.7103373977343383];153.9861393000465
[3.959295552000003, -1.5281554000000002];True;[4.870544782845579, 3.548782812709735, 3.3078817767868998, 1.041505837366719, -0.3290657309247811, 0.6508231487915319, 2.7449741705562714, 4.903865028903747, -2.8685184290569907, -1.77007982944704];149.60102659999393
[3.6789854400000044, -2.4999999999930225];True;[4.064254718101129, -1.7134617312031342, 4.387293697830616, 3.5421806330069856, 2.4514227897374212, -2.98168906747979, -0.2234747781537294, -3.586381989179428, 0.7550983744769777, -3.5718450286445136];156.76525409996975
[3.76985059200001, -2.3220772];True;[-3.463159375541136, -4.8809032491556, 3.764467220203361, 4.369984368563793, 3.3206804496155016, -3.120806990190277, 1.3392479969750504, 4.620038995969374, 3.501505284704505, -2.1209244435429575];151.98738169996068
[4.019332320000013, -2.4999999999988542];True;[2.1638987613437433, 2.4266409486221807, 1.4614109764940464, 3.059264854247509, -1.1839495275770262, 2.6654570559840574, 0.8691925178696263, 3.593704464390857, 0.16448552023299978, 3.6600971491384406];151.23892769997474
[3.916831248000005, -2.4999999999996247];True;[-4.7172446862430135, 1.2639189623472245, 1.7884652640268435, 3.3636234507424394, 3.778538613687278, -2.369555496646937, 4.322998907311813, 3.5932640869262897, 1.145002587476701, 1.9657651932777522];143.22129759995732
[4.162842072000003, -2.4999999999996487];True;[2.0901359409195486, 3.1106206731157098, 3.584805546998723, 4.976836054298715, 2.929531637351552, 3.1981651963362836, 3.5095348408778637, 4.223606838873339, 1.6406296846004427, -3.7397149201031246];148.87949930003379
[3.776282208000012, -2.499999998488713];True;[4.896947606030732, 2.3552325392068587, -3.6200158606776043, 3.9050091286433037, -0.5548976879393388, -3.2996050816372033, 2.6444355804428437, 2.3265499907494895, -4.173637118486754, 3.147858083385339];149.8781412000535
[3.5212726080000034, -2.499999999939354];True;[-2.8396783697185137, 2.774536776346963, -4.685765431904949, -0.7976135795201778, 2.1653741255442878, 3.935162418707808, 2.6068375063934637, -3.4214044861660478, 0.3838742605966896, -4.299445494950527];175.458160799928
[3.7443900240000105, -2.4999999999993108];True;[3.46004905247071, -2.9605377843147607, 0.8511710206123579, -3.3619290068650542, 4.288983008708202, -0.5346950202172183, 2.510396997280141, 0.1026350104788829, 3.8654303871451585, -2.0701486341526976];187.31561849999707
[3.571543368000002, -2.4991039266];True;[-0.682661170558621, -4.887656108816624, -0.04238547959638428, 2.484087462995187, 2.391928183754745, 1.4538836697642026, -1.124879614533275, -3.136426747072142, -1.049148170339259, 2.7425003510104045];152.7922535999678
[3.5578008000000105, -2.4999999999983333];True;[-1.7576051645828628, 0.8214147325437917, -4.611561165076607, -2.554820021665738, -3.4826794635994505, 2.263344539387404, -2.8559255671795736, 4.658837519603633, 0.45374482078358547, 4.57826298488321];152.23572230001446
[3.561181416000009, -2.4999999999982903];True;[-4.577014263931024, 1.2249011027324137, 4.358790066396111, -4.145359319399107, 3.0479698124040624, 3.3775034182213197, -3.0693108795550472, -0.33192493089093666, 1.0057757470814979, -3.2218641658480895];157.24377360008657
[3.7553010480000095, -2.496787527];True;[2.959597551839619, -1.7345290618707718, 1.1669981152921967, -0.1015169551941959, 4.822264568822963, -2.6312462795145986, -0.10398195043944902, 3.3200035266491863, 2.452087351588098, -3.4931383750449783];156.28460839996114
[3.6361569600000117, -2.4999999999909632];True;[-1.1687981059306027, -3.6976552772280638, 3.6750324392601, -0.8449546773783361, 2.474352768440186, 4.200730905033831, -4.08991393602011, 4.392181578109513, -2.184363167747944, -1.616040100950972];151.37415980000515
[3.9087999360000043, -2.499999999998368];True;[2.365806449155203, -1.343845404834465, 4.004699953031107, -1.2514205350624574, 4.769670306158249, -0.9661366514973366, 3.7332372206474407, -2.543395507324621, 0.2780311854075048, 4.7163513765499445];154.2019715999486
[3.7036867680000087, -2.4999999999956755];True;[3.568996852365281, -2.35972964230338, -2.6090830751827854, -3.285068364955893, -4.9194096896378525, 3.6462001109029636, 4.491421822154123, -2.4685070167784606, 3.2239631801166695, 4.978203475262957];151.29182729998138
[3.560324760000011, -2.2659813];True;[-2.9063816162916467, 1.992867770018476, 0.06281881150594781, 2.1609401397305037, 1.7100338282027892, -2.2507483080048587, -2.768784214557869, -4.044203285160554, 1.035934049783597, 2.63735479804825];158.45033410005271
[3.187672488000004, -2.4999999999970455];True;[-3.288410544828375, 0.8145198421510402, -4.398173674953604, -0.3370026098202361, -4.713910820577887, 2.113529577880654, -0.6766465133714714, -0.8644816775862205, -4.040540260255455, -4.231445351662911];160.66067229991313
[3.560110704000002, -1.711099];True;[-2.219086813457807, -4.174507236821153, 2.7232406644893183, 3.850130661168441, -3.766383679222379, 3.341658397548617, -3.941604993513539, 1.145246966272932, -3.1873405778616473, 3.848606990826296];160.5544248999795
[3.9343386960000033, -1.9125217];True;[3.20666697203203, -1.9819864556772302, 1.1877435756101598, 3.3446719072352966, 2.8929526047997154, 3.838875781953023, -1.6739995705430024, 4.0514833785217785, -1.83944404753976, 1.918361425824319];161.54948689998128
[3.932267256000002, -2.4999999999974247];True;[4.864713196511467, -1.4129824712333061, -0.23212751296189804, 2.0626360907257544, 0.559098752492309, 4.312804273426421, 3.8647146995805564, 0.18429545721916618, 3.1471290798095204, -2.5008494036033446];161.36586450005416
[3.651194232000013, -2.492070571];True;[-2.70953087588277, -3.990621781613445, 4.001196923845496, 4.702391450995172, 1.9424721604029171, -2.323759209261018, 2.651754191342591, 0.4199135606645328, 0.6150065941542735, -3.4720498218730453];160.093429200002
[3.3362262720000038, -1.434005];True;[-3.429112504795663, -4.5593449687891985, 1.4826441030374937, 4.2770236691007995, 4.369169188253073, -3.0397583756793933, 1.425529947226365, -3.5467610551475817, -4.9316965691676105, -4.79275623392987];167.72622529999353
[3.410701560000007, -0.20086000000000004];True;[-0.8129751896341819, -1.015406927832169, -3.520586907652735, 3.5507119866556103, 0.9846800157302642, 2.915230629503288, -1.693887285197885, -4.69426479438264, -2.0552267558602857, -2.955454490694197];160.94257399998605
[3.960225432000003, -2.4999999999978813];True;[1.5844183580285058, -4.319679063512131, 4.105247613128222, 4.5976816067638495, 0.7485858412795423, 2.7036428526935214, -0.46114714005536594, 1.2028623766662658, 3.275387894147986, 2.70675714787468];146.9707338999724
[3.243253608000013, -2.499999999999173];True;[1.9018956912752856, -4.140031922318555, -4.734089670071259, -0.021212831089332695, -1.206893028489977, -1.329958253850089, 0.6320680432377292, -4.10700411237751, -3.338541631793397, -0.7055862290620567];151.28476599999703
[3.6528820560000064, -2.2911424];True;[4.531610041156576, -4.67610699710799, -1.0048618922695862, -2.5600391205465245, 4.354125680993375, 0.038455408257497936, -1.35766140458803, 3.735967293582725, 0.39056446651341936, -1.537131192853006];150.7386748000281
[3.899666376000005, -2.4999999999992193];True;[3.1379041558141356, 1.3197405486770073, 4.845508844940788, 0.21463562239959266, -1.6471329907274477, -1.684140257627421, -4.143663715830112, 3.5426506545296554, 3.75125259817494, 4.0033473259812595];150.5026781000197
[3.69698148, -2.499999999987658];True;[3.4439258907002746, -0.8800652995434977, 3.5706062856437857, 0.5733062061262428, -1.614424861938458, -1.853305232689384, -4.915956787384092, 2.8993105984961423, 4.911649170778144, -2.1784885496475703];150.6349232000066
[3.660060600000001, -2.4999999999378986];True;[-1.2428069789574083, -2.6377337965844125, 1.0479848462416683, 3.951757134518891, 2.180568641905511, -1.7016836765479293, 3.159453443984132, -2.2653933400055335, 3.7715907620973717, -4.016499218943851];151.2747934999643
