objectives;is_feasible;variables;evaluation_time;algorithm_time
[3.5386139520000026, -2.4999999999985287];True;[-1.6001085585399002, -1.5548678516281433, -2.471125170227537, -1.9167167473460758, 3.448681838997336, -0.5251585189677019, 3.00957938959227, 2.239481482267162, -3.985027465169164, -0.020007930995955547];158.7274264000589;1674.3058298999676
[3.3156028080000013, -2.499999999999566];True;[-0.36386760441707544, -3.4806337052229095, -2.4095627964000554, -2.717692454729883, 3.5361298369235747, 0.7747306635110887, -3.4904402616894203, -4.7044018553283244, 0.6166467306937697, -1.4607453325205366];160.42758419993334;
[3.725008992000012, -1.7185764];True;[-2.373964424437488, -4.914168942756422, 2.85194677761506, 0.753983907810599, 0.2528174757257373, -0.6432470733278226, 2.6501147242528864, -2.663531468715502, 4.714750558624061, 4.625399882637431];159.70454259996768;
[3.9822507360000037, -2.4999999999996034];True;[-1.303735812689263, 3.792363586427525, 4.8919865034593535, -0.17217679779880335, 4.010492157072475, -0.32353972002783493, -3.7246731223056537, 4.784551980007569, 4.504955437962639, 0.7032081616921593];160.0722853000043;
[3.1424770800000115, -2.499999999999626];True;[-2.3237030168770776, -4.099926433334048, 0.7295120211926616, -1.9120260119919, -1.6633710288116434, 1.2552924084254595, -4.813550963135103, -2.091865827536804, -3.5312984608876077, -3.2640218916564887];156.71815090009477;
[3.8363068800000013, -2.3123322];True;[2.398962061961475, 2.4963107643343374, 1.4052673345237956, -1.6531242302178653, -2.2271647009585926, 3.022353358469058, 3.9191692714939244, 0.46877263697292015, 1.2307741416792686, -0.6545154551034056];134.76349449995905;
[3.8863471680000012, -2.4999999999990754];True;[2.178896080402848, 1.217570976865594, 1.6509216648483962, 0.3522059819678187, -1.6458099615500856, 4.212246741461808, 3.998189025267415, -4.0481488554649445, 3.2379834355367194, 1.5694442381422498];138.35386240005028;
[3.452200776000003, -2.4999999999711813];True;[-3.597301041265343, -1.7530214556985513, 3.1660019034354665, 0.48639284112370795, -3.9251550451787987, -0.23439921887019377, -0.5781049038637036, -2.286614873005327, 2.2267628892584304, -0.8804277099195374];138.49706029996742;
[3.686804208000008, -2.4999999999983475];True;[0.5552993931913743, -2.032700892945385, 0.9177515188120013, 0.689491512808126, 4.89993684682746, -4.45200477773339, 2.5504700602334642, 4.924565964197527, -2.6329829773214772, -1.9344049510370431];137.34987779997755;
[3.723168888000006, -1.065835];True;[-0.939791865141685, -4.547214826355105, 3.657710281448871, 1.9340499960688522, 1.6551917647545196, 2.4850614538920732, -3.921389326791024, -2.6544732781191493, 3.068888949785544, 4.430900760902745];136.9564204000635;
[3.7138525920000083, -2.3799314];True;[-2.2856921319413734, -1.5586733477652404, 2.521590433392551, -2.587189291184969, 1.5128760705562527, 2.7000862524244598, 1.6020085178282901, 0.6864432987702003, -1.7107562222319093, 3.856928818619185];141.43750720005482;
[3.7981938960000017, -2.4999999999978018];True;[-3.445748690608105, -1.21684096209664, 0.2473190839903694, 3.8492053326909, 1.4234120552783889, -3.958429289493748, 2.238480501054391, 4.674604447843354, 1.8736195882735904, 2.956722139097975];148.95034570002463;
[3.5463858480000026, -2.3706272];True;[-0.6291220674450546, -1.1247993095483877, 0.3415837855887558, 3.417516158441737, -2.095562487418107, -3.0837300337577256, -4.487361531467323, -0.222702744386444, 0.5809109849636211, 4.287796207805783];149.51688489993103;
[3.4490322720000104, -1.9677525999999999];True;[-2.153090491252563, -3.1685693662045553, 1.5380428739395153, -2.814700199648917, 4.514990423932284, 4.780166930192703, -4.240368216965321, 0.4988743457671605, -3.6074541946367433, -2.870467018082219];149.91348699992523;
[3.6183557520000074, -2.499999999997576];True;[1.1746115015120306, -4.862030001204424, 3.726971554953151, 2.190158069706202, 1.3643061144105335, 1.2130358840958095, 0.6434472101895663, -3.231405683283042, 2.8522523088309537, -4.754891713656331];154.16503329994157;
[3.7533132000000107, -2.499999999999357];True;[0.49186249336294985, -2.8318761580405463, 3.713099765357807, -1.5130842392576072, 0.92921483954599, -1.1290917611879578, -0.17108767952597148, 2.606428951806649, 3.935828497007803, 0.5331941528719364];185.66301189991646;
[3.4851379680000125, -2.42774489];True;[1.72587841191101, 0.9110622368928674, -2.8099402083333036, -1.79531429022455, 0.7586462012582418, -4.762689447035877, 1.496936493706304, -0.052256230055006014, -4.036160679421171, 2.7128168418013674];197.40506729995832;
[3.271121496000007, -2.4999999999972395];True;[-1.1177281553047758, -2.0218583200731945, -2.2737719741815132, 2.2130341794900135, -1.7344034606672976, -4.859306795092734, -2.752543423020488, -4.406893720056946, 2.8340683717328297, -1.6398103288114285];194.35365220007952;
[4.028452272000008, -2.4999999999959917];True;[2.728308072631341, 3.2181028923894885, 3.1202600255674326, 4.62202812120092, -4.515598717928687, -2.0186428843600837, 4.779192926647376, 2.6399797578241664, 4.8407824007188776, -0.11200983806446807];183.83332340000197;
[3.4055957520000013, -2.4999999999974913];True;[4.252579891060055, -2.538102332029424, -4.322424468501474, -1.1884887943479718, -4.375559271725389, 0.520082993244813, 0.0978417147856172, -3.2346634464685717, 4.047932292895979, -2.7927097176160554];185.8454985000426;
[3.5552269440000117, -2.4999999999990545];True;[-2.7066621463997187, -3.8116938576016324, 1.5172746471917362, -3.1813231925737986, -2.2177004265104405, -0.11721079904680565, 3.3925792207784244, 3.798751846562551, 2.241557729084036, -1.5217479585471683];190.88571890001185;
[3.4615263600000086, -2.499999999999573];True;[1.9991241419829162, -1.1433823620342096, -3.4831677072237124, -1.9138872391064519, -0.6787037035923191, 1.5191209919204294, 4.256549146984584, -4.749737880274846, -4.859668293492012, 2.109608740774174];187.11941500008106;
[3.4693706160000004, -2.4999999999984706];True;[-2.2524593143373375, -1.3269026148782617, -2.494867206607597, 0.49894193505204765, 2.6876045349434, 1.7915926087447005, -0.27374249100882864, -1.8873466640930516, 0.5612002285687323, -3.885034726184231];182.67934549995698;
[3.6092308320000015, -2.499999999995156];True;[0.10580856241291059, 3.8327983506955388, -0.673879086251155, -2.157569383836131, -1.1598622664127523, -4.582847542643494, -4.3818612264753245, 3.502597128625336, 2.5825416304421935, 2.8262515519020157];185.25785860000178;
